ID,Site,Plot,Time,Species,Frequency,YesX,yesY,yes_grid_ref,geometry
16,6,1,2,Carabus glabratus,3,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,2,Carabus problematicus,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,2,Cychrus caraboides,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,2,Pterostichus niger,5,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,3,Calathus micropterus,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,3,Carabus glabratus,2,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,3,Cychrus caraboides,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,3,Pterostichus niger,1,205803,818004,205803  818004,POINT (205803  818004)
17,6,2,1,Agonum fuliginosum,3,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,1,Carabus problematicus,1,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,1,Pterostichus rhaeticus,2,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,2,Agonum fuliginosum,9,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,2,Carabus problematicus,1,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,2,Cychrus caraboides,1,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,2,Pterostichus rhaeticus,2,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,3,Agonum fuliginosum,1,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,3,Carabus problematicus,10,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,3,Pterostichus rhaeticus,1,206112,818073,206112  818073,POINT (206112  818073)
18,6,3,1,Agonum fuliginosum,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,1,Carabus problematicus,4,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,1,Cychrus caraboides,2,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,1,Pterostichus diligens,4,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,1,Pterostichus rhaeticus,7,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Agonum fuliginosum,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Carabus glabratus,3,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Carabus problematicus,2,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Cychrus caraboides,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Pterostichus diligens,2,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Pterostichus niger,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Pterostichus rhaeticus,3,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,3,Carabus problematicus,21,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,3,Cychrus caraboides,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,3,Pterostichus rhaeticus,2,205930,818001,205930  818001,POINT (205930  818001)
19,7,1,1,Carabus glabratus,15,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,1,Carabus problematicus,3,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,1,Carabus violaceus,1,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,1,Pterostichus niger,1,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,2,Carabus glabratus,14,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,2,Carabus problematicus,2,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,2,Pterostichus niger,3,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,3,Carabus glabratus,10,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,3,Cychrus caraboides,1,205205,818463,205205  818463,POINT (205205  818463)
20,7,2,1,Nebria salina,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,1,Pterostichus diligens,4,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,1,Pterostichus rhaeticus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,1,Trechus obtusus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Agonum fuliginosum,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Nebria salina,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Notiophilus biguttatus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Pterostichus diligens,3,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Trechus obtusus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,3,Carabus glabratus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,3,Carabus problematicus,9,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,3,Nebria salina,5,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,3,Pterostichus diligens,1,205773,818728,205773  818728,POINT (205773  818728)
21,7,3,1,Pterostichus rhaeticus,3,205381,818550,205381  818550,POINT (205381  818550)
21,7,3,2,Carabus glabratus,2,205381,818550,205381  818550,POINT (205381  818550)
21,7,3,2,Carabus violaceus,1,205381,818550,205381  818550,POINT (205381  818550)
21,7,3,3,Cychrus caraboides,1,205381,818550,205381  818550,POINT (205381  818550)
22,8,1,1,Carabus glabratus,14,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,1,Carabus problematicus,1,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,2,Carabus glabratus,2,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,2,Cychrus caraboides,1,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,3,Carabus glabratus,7,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,3,Carabus violaceus,2,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,3,Trechus obtusus,1,223516,825891,223516  825891,POINT (223516  825891)
23,8,2,1,Carabus glabratus,5,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,1,Pterostichus diligens,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,1,Pterostichus madidus,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,1,Pterostichus niger,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,1,Pterostichus rhaeticus,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,2,Carabus glabratus,3,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,2,Cychrus caraboides,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,3,Abax parallelepipidus,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,3,Carabus glabratus,8,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,3,Cychrus caraboides,1,223478,825843,223478  825843,POINT (223478  825843)
24,8,3,2,Carabus glabratus,3,223457,825820,223457  825820,POINT (223457  825820)
24,8,3,2,Carabus violaceus,1,223457,825820,223457  825820,POINT (223457  825820)
24,8,3,3,Carabus glabratus,6,223457,825820,223457  825820,POINT (223457  825820)
24,8,3,3,Cychrus caraboides,2,223457,825820,223457  825820,POINT (223457  825820)
25,8,4,1,Calathus micropterus,2,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,1,Cychrus caraboides,1,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,2,Carabus glabratus,1,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,2,Cychrus caraboides,1,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,3,Carabus glabratus,2,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,3,Carabus problematicus,1,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,3,Cychrus caraboides,1,223845,825893,223845  825893,POINT (223845  825893)
26,8,5,1,Carabus glabratus,3,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,1,Carabus violaceus,1,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,1,Pterostichus oblongopunctatus,1,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,2,Calathus micropterus,2,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,2,Carabus glabratus,3,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,2,Carabus violaceus,3,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,3,Calathus micropterus,1,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,3,Carabus glabratus,2,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,3,Carabus problematicus,3,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,3,Cychrus caraboides,2,223821,825929,223821  825929,POINT (223821  825929)
27,9,1,1,Carabus glabratus,24,214590,821089,214590  821089,POINT (214590  821089)
27,9,1,2,Carabus glabratus,13,214590,821089,214590  821089,POINT (214590  821089)
27,9,1,3,Carabus glabratus,16,214590,821089,214590  821089,POINT (214590  821089)
28,9,2,1,Agonum fuliginosum,1,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,1,Carabus glabratus,1,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,1,Carabus problematicus,2,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,1,Cychrus caraboides,1,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,1,Pterostichus rhaeticus,1,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,2,Carabus problematicus,2,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,2,Pterostichus niger,1,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,2,Pterostichus rhaeticus,1,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,3,Carabus glabratus,3,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,3,Carabus problematicus,4,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,3,Cychrus caraboides,3,214613,821088,214613  821088,POINT (214613  821088)
28,9,2,3,Pterostichus rhaeticus,1,214613,821088,214613  821088,POINT (214613  821088)
29,9,3,1,Agonum fuliginosum,3,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,1,Carabus glabratus,1,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,1,Carabus problematicus,1,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,1,Cychrus caraboides,1,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,1,Pterostichus niger,1,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,1,Pterostichus rhaeticus,1,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,2,Agonum fuliginosum,5,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,2,Carabus glabratus,1,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,2,Carabus problematicus,2,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,2,Carabus violaceus,1,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,2,Cychrus caraboides,5,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,2,Pterostichus rhaeticus,2,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,3,Carabus glabratus,7,214876,821044,214876  821044,POINT (214876  821044)
29,9,3,3,Cychrus caraboides,2,214876,821044,214876  821044,POINT (214876  821044)
30,9,4,1,Carabus glabratus,12,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,1,Carabus problematicus,2,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,1,Carabus violaceus,1,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,1,Trechus obtusus,1,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,2,Carabus glabratus,1,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,3,Calathus micropterus,1,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,3,Carabus glabratus,5,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,3,Carabus problematicus,1,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,3,Carabus violaceus,2,216455,822114,216455  822114,POINT (216455  822114)
30,9,4,3,Cychrus caraboides,1,216455,822114,216455  822114,POINT (216455  822114)
31,9,5,1,Carabus glabratus,13,216452,822065,216452  822065,POINT (216452  822065)
31,9,5,1,Cychrus caraboides,1,216452,822065,216452  822065,POINT (216452  822065)
31,9,5,2,Carabus glabratus,5,216452,822065,216452  822065,POINT (216452  822065)
31,9,5,2,Carabus violaceus,1,216452,822065,216452  822065,POINT (216452  822065)
31,9,5,3,Carabus glabratus,10,216452,822065,216452  822065,POINT (216452  822065)
31,9,5,3,Carabus problematicus,3,216452,822065,216452  822065,POINT (216452  822065)
31,9,5,3,Carabus violaceus,1,216452,822065,216452  822065,POINT (216452  822065)
31,9,5,3,Trechus obtusus,1,216452,822065,216452  822065,POINT (216452  822065)
32,10,1,1,Carabus glabratus,8,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,1,Pterostichus diligens,1,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,2,Carabus glabratus,1,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,2,Carabus violaceus,2,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,2,Pterostichus niger,1,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,3,Calathus micropterus,3,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,3,Carabus glabratus,1,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,3,Carabus problematicus,1,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,3,Carabus violaceus,3,235592,817787,235592  817787,POINT (235592  817787)
32,10,1,3,Cychrus caraboides,1,235592,817787,235592  817787,POINT (235592  817787)
33,10,2,1,Carabus glabratus,3,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,1,Cychrus caraboides,1,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,1,Pterostichus diligens,3,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,1,Pterostichus madidus,3,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,2,Carabus glabratus,3,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,2,Pterostichus diligens,3,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,2,Pterostichus niger,1,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,3,Carabus glabratus,9,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,3,Carabus violaceus,2,235570,817892,235570  817892,POINT (235570  817892)
33,10,2,3,Pterostichus niger,1,235570,817892,235570  817892,POINT (235570  817892)
34,10,3,1,Agonum fuliginosum,6,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,1,Carabus glabratus,1,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,1,Pterostichus diligens,2,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,1,Pterostichus rhaeticus,2,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,2,Agonum fuliginosum,2,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,2,Carabus glabratus,5,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,2,Pterostichus diligens,1,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,3,Agonum fuliginosum,7,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,3,Carabus glabratus,3,235496,818006,235496  818006,POINT (235496  818006)
34,10,3,3,Pterostichus diligens,1,235496,818006,235496  818006,POINT (235496  818006)
35,11,1,1,Carabus glabratus,1,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,1,Carabus violaceus,2,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,1,Harpalus latus,1,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,1,Pterostichus diligens,1,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,1,Pterostichus niger,9,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,2,Carabus glabratus,3,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,2,Notiophilus germinyi,1,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,2,Pterostichus diligens,1,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,2,Pterostichus niger,4,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,3,Carabus glabratus,6,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,3,Carabus violaceus,1,233892,816697,233892  816697,POINT (233892  816697)
35,11,1,3,Pterostichus niger,3,233892,816697,233892  816697,POINT (233892  816697)
36,11,2,1,Carabus glabratus,8,233746,816435,233746  816435,POINT (233746  816435)
36,11,2,1,Carabus violaceus,1,233746,816435,233746  816435,POINT (233746  816435)
36,11,2,1,Cychrus caraboides,1,233746,816435,233746  816435,POINT (233746  816435)
36,11,2,1,Harpalus latus,1,233746,816435,233746  816435,POINT (233746  816435)
36,11,2,2,Carabus glabratus,6,233746,816435,233746  816435,POINT (233746  816435)
36,11,2,2,Pterostichus niger,6,233746,816435,233746  816435,POINT (233746  816435)
36,11,2,3,Abax parallelepipidus,1,233746,816435,233746  816435,POINT (233746  816435)
36,11,2,3,Carabus glabratus,7,233746,816435,233746  816435,POINT (233746  816435)
