ObservationIndex,ID,Site,Plot,Time,Species,Frequency,Grid_X,Grid_Y
61,8,3,2,1,Carabus problematicus,2,209477,820390
62,8,3,2,1,Nebria salina,1,209477,820390
63,8,3,2,2,Agonum fuliginosum,4,209477,820390
64,8,3,2,2,Carabus violaceus,1,209477,820390
65,8,3,2,3,Carabus glabratus,1,209477,820390
66,8,3,2,3,Carabus problematicus,13,209477,820390
67,8,3,2,3,Cychrus caraboides,2,209477,820390
68,9,3,3,1,Agonum fuliginosum,7,209527,820352
69,9,3,3,1,Carabus problematicus,1,209527,820352
70,9,3,3,1,Pterostichus rhaeticus,1,209527,820352
71,9,3,3,2,Agonum fuliginosum,14,209527,820352
72,9,3,3,2,Pterostichus niger,1,209527,820352
73,9,3,3,2,Pterostichus rhaeticus,2,209527,820352
74,9,3,3,3,Agonum fuliginosum,2,209527,820352
75,9,3,3,3,Cychrus caraboides,2,209527,820352
76,10,4,1,1,Carabus glabratus,2,209745,820894
77,10,4,1,1,Carabus violaceus,1,209745,820894
78,10,4,1,1,Pterostichus diligens,1,209745,820894
79,10,4,1,2,Carabus glabratus,5,209745,820894
80,10,4,1,2,Cychrus caraboides,3,209745,820894
81,10,4,1,3,Carabus glabratus,7,209745,820894
82,11,4,2,1,Carabus arvensis,1,209842,820897
83,11,4,2,1,Pterostichus rhaeticus,2,209842,820897
84,11,4,2,2,Carabus arvensis,1,209842,820897
85,11,4,2,2,Notiophilus palustris,1,209842,820897
86,11,4,2,2,Pterostichus rhaeticus,2,209842,820897
87,11,4,2,3,Carabus arvensis,1,209842,820897
88,11,4,2,3,Carabus glabratus,2,209842,820897
89,11,4,2,3,Carabus problematicus,1,209842,820897
90,11,4,2,3,Pterostichus rhaeticus,1,209842,820897
91,12,4,3,1,Carabus glabratus,1,209792,820932
92,12,4,3,1,Cychrus caraboides,1,209792,820932
93,12,4,3,1,Pterostichus rhaeticus,1,209792,820932
94,12,4,3,2,Agonum fuliginosum,3,209792,820932
95,12,4,3,2,Cychrus caraboides,1,209792,820932
96,12,4,3,2,Pterostichus diligens,1,209792,820932
97,12,4,3,2,Pterostichus rhaeticus,3,209792,820932
98,12,4,3,3,Agonum fuliginosum,1,209792,820932
99,12,4,3,3,Carabus glabratus,1,209792,820932
100,12,4,3,3,Cychrus caraboides,1,209792,820932
101,13,5,1,1,Carabus glabratus,14,208220,819946
102,13,5,1,1,Trechus obtusus,1,208220,819946
103,13,5,1,2,Carabus glabratus,15,208220,819946
104,13,5,1,3,Carabus glabratus,10,208220,819946
105,14,5,2,1,Carabus problematicus,1,208779,820036
106,14,5,2,1,Pterostichus rhaeticus,22,208779,820036
107,14,5,2,2,Agonum fuliginosum,25,208779,820036
108,14,5,2,2,Carabus problematicus,5,208779,820036
109,14,5,2,2,Carabus violaceus,1,208779,820036
110,14,5,2,2,Pterostichus rhaeticus,16,208779,820036
111,14,5,2,3,Agonum fuliginosum,5,208779,820036
112,14,5,2,3,Carabus problematicus,20,208779,820036
113,14,5,2,3,Cychrus caraboides,2,208779,820036
114,14,5,2,3,Patrobus assimilis,1,208779,820036
115,14,5,2,3,Pterostichus diligens,1,208779,820036
116,14,5,2,3,Pterostichus niger,1,208779,820036
117,14,5,2,3,Pterostichus rhaeticus,7,208779,820036
118,15,5,3,1,Agonum fuliginosum,3,208544,820053
119,15,5,3,1,Carabus problematicus,1,208544,820053
120,15,5,3,1,Cychrus caraboides,1,208544,820053
121,15,5,3,1,Pterostichus rhaeticus,6,208544,820053
122,15,5,3,2,Agonum fuliginosum,15,208544,820053
123,15,5,3,2,Carabus glabratus,1,208544,820053
124,15,5,3,2,Carabus violaceus,1,208544,820053
125,15,5,3,2,Pterostichus rhaeticus,4,208544,820053
126,15,5,3,3,Agonum fuliginosum,2,208544,820053
127,15,5,3,3,Carabus problematicus,2,208544,820053
128,15,5,3,3,Cychrus caraboides,2,208544,820053
129,16,6,1,1,Leistus terminatus,1,205803,818004
130,16,6,1,1,Trechus obtusus,1,205803,818004
131,16,6,1,2,Carabus glabratus,3,205803,818004
132,16,6,1,2,Carabus problematicus,1,205803,818004
133,16,6,1,2,Cychrus caraboides,1,205803,818004
134,16,6,1,2,Pterostichus niger,5,205803,818004
135,16,6,1,3,Calathus micropterus,1,205803,818004
136,16,6,1,3,Carabus glabratus,2,205803,818004
137,16,6,1,3,Cychrus caraboides,1,205803,818004
138,16,6,1,3,Pterostichus niger,1,205803,818004
139,17,6,2,1,Agonum fuliginosum,3,206112,818073
140,17,6,2,1,Carabus problematicus,1,206112,818073
141,17,6,2,1,Pterostichus rhaeticus,2,206112,818073
142,17,6,2,2,Agonum fuliginosum,9,206112,818073
143,17,6,2,2,Carabus problematicus,1,206112,818073
144,17,6,2,2,Cychrus caraboides,1,206112,818073
145,17,6,2,2,Pterostichus rhaeticus,2,206112,818073
146,17,6,2,3,Agonum fuliginosum,1,206112,818073
147,17,6,2,3,Carabus problematicus,10,206112,818073
148,17,6,2,3,Pterostichus rhaeticus,1,206112,818073
149,18,6,3,1,Agonum fuliginosum,1,205930,818001
150,18,6,3,1,Carabus problematicus,4,205930,818001
151,18,6,3,1,Cychrus caraboides,2,205930,818001
152,18,6,3,1,Pterostichus diligens,4,205930,818001
153,18,6,3,1,Pterostichus rhaeticus,7,205930,818001
154,18,6,3,2,Agonum fuliginosum,1,205930,818001
155,18,6,3,2,Carabus glabratus,3,205930,818001
156,18,6,3,2,Carabus problematicus,2,205930,818001
157,18,6,3,2,Cychrus caraboides,1,205930,818001
158,18,6,3,2,Pterostichus diligens,2,205930,818001
159,18,6,3,2,Pterostichus niger,1,205930,818001
160,18,6,3,2,Pterostichus rhaeticus,3,205930,818001
161,18,6,3,3,Carabus problematicus,21,205930,818001
162,18,6,3,3,Cychrus caraboides,1,205930,818001
163,18,6,3,3,Pterostichus rhaeticus,2,205930,818001
164,19,7,1,1,Carabus glabratus,15,205205,818463
165,19,7,1,1,Carabus problematicus,3,205205,818463
166,19,7,1,1,Carabus violaceus,1,205205,818463
167,19,7,1,1,Pterostichus niger,1,205205,818463
168,19,7,1,2,Carabus glabratus,14,205205,818463
169,19,7,1,2,Carabus problematicus,2,205205,818463
170,19,7,1,2,Pterostichus niger,3,205205,818463
171,19,7,1,3,Carabus glabratus,10,205205,818463
172,19,7,1,3,Cychrus caraboides,1,205205,818463
173,20,7,2,1,Nebria salina,1,205773,818728
174,20,7,2,1,Pterostichus diligens,4,205773,818728
175,20,7,2,1,Pterostichus rhaeticus,1,205773,818728
176,20,7,2,1,Trechus obtusus,1,205773,818728
177,20,7,2,2,Agonum fuliginosum,1,205773,818728
178,20,7,2,2,Nebria salina,1,205773,818728
179,20,7,2,2,Notiophilus biguttatus,1,205773,818728
180,20,7,2,2,Pterostichus diligens,3,205773,818728
181,20,7,2,2,Trechus obtusus,1,205773,818728
182,20,7,2,3,Carabus glabratus,1,205773,818728
183,20,7,2,3,Carabus problematicus,9,205773,818728
184,20,7,2,3,Nebria salina,5,205773,818728
185,20,7,2,3,Pterostichus diligens,1,205773,818728
186,21,7,3,1,Pterostichus rhaeticus,3,205381,818550
187,21,7,3,2,Carabus glabratus,2,205381,818550
188,21,7,3,2,Carabus violaceus,1,205381,818550
189,21,7,3,3,Cychrus caraboides,1,205381,818550
190,22,8,1,1,Carabus glabratus,14,223516,825891
191,22,8,1,1,Carabus problematicus,1,223516,825891
192,22,8,1,2,Carabus glabratus,2,223516,825891
193,22,8,1,2,Cychrus caraboides,1,223516,825891
194,22,8,1,3,Carabus glabratus,7,223516,825891
195,22,8,1,3,Carabus violaceus,2,223516,825891
196,22,8,1,3,Trechus obtusus,1,223516,825891
197,23,8,2,1,Carabus glabratus,5,223478,825843
198,23,8,2,1,Pterostichus diligens,1,223478,825843
199,23,8,2,1,Pterostichus madidus,1,223478,825843
200,23,8,2,1,Pterostichus niger,1,223478,825843
201,23,8,2,1,Pterostichus rhaeticus,1,223478,825843
202,23,8,2,2,Carabus glabratus,3,223478,825843
203,23,8,2,2,Cychrus caraboides,1,223478,825843
204,23,8,2,3,Abax parallelepipidus,1,223478,825843
205,23,8,2,3,Carabus glabratus,8,223478,825843
206,23,8,2,3,Cychrus caraboides,1,223478,825843
207,24,8,3,2,Carabus glabratus,3,223457,825820
208,24,8,3,2,Carabus violaceus,1,223457,825820
209,24,8,3,3,Carabus glabratus,6,223457,825820
210,24,8,3,3,Cychrus caraboides,2,223457,825820
211,25,8,4,1,Calathus micropterus,2,223845,825893
212,25,8,4,1,Cychrus caraboides,1,223845,825893
213,25,8,4,2,Carabus glabratus,1,223845,825893
214,25,8,4,2,Cychrus caraboides,1,223845,825893
215,25,8,4,3,Carabus glabratus,2,223845,825893
216,25,8,4,3,Carabus problematicus,1,223845,825893
217,25,8,4,3,Cychrus caraboides,1,223845,825893
218,26,8,5,1,Carabus glabratus,3,223821,825929
219,26,8,5,1,Carabus violaceus,1,223821,825929
220,26,8,5,1,Pterostichus oblongopunctatus,1,223821,825929
221,26,8,5,2,Calathus micropterus,2,223821,825929
222,26,8,5,2,Carabus glabratus,3,223821,825929
223,26,8,5,2,Carabus violaceus,3,223821,825929
224,26,8,5,3,Calathus micropterus,1,223821,825929
225,26,8,5,3,Carabus glabratus,2,223821,825929
226,26,8,5,3,Carabus problematicus,3,223821,825929
227,26,8,5,3,Cychrus caraboides,2,223821,825929
228,27,9,1,1,Carabus glabratus,24,214590,821089
229,27,9,1,2,Carabus glabratus,13,214590,821089
230,27,9,1,3,Carabus glabratus,16,214590,821089
231,28,9,2,1,Agonum fuliginosum,1,214613,821088
232,28,9,2,1,Carabus glabratus,1,214613,821088
233,28,9,2,1,Carabus problematicus,2,214613,821088
234,28,9,2,1,Cychrus caraboides,1,214613,821088
235,28,9,2,1,Pterostichus rhaeticus,1,214613,821088
236,28,9,2,2,Carabus problematicus,2,214613,821088
237,28,9,2,2,Pterostichus niger,1,214613,821088
238,28,9,2,2,Pterostichus rhaeticus,1,214613,821088
239,28,9,2,3,Carabus glabratus,3,214613,821088
240,28,9,2,3,Carabus problematicus,4,214613,821088
241,28,9,2,3,Cychrus caraboides,3,214613,821088
242,28,9,2,3,Pterostichus rhaeticus,1,214613,821088
243,29,9,3,1,Agonum fuliginosum,3,214876,821044
244,29,9,3,1,Carabus glabratus,1,214876,821044
245,29,9,3,1,Carabus problematicus,1,214876,821044
246,29,9,3,1,Cychrus caraboides,1,214876,821044
247,29,9,3,1,Pterostichus niger,1,214876,821044
248,29,9,3,1,Pterostichus rhaeticus,1,214876,821044
249,29,9,3,2,Agonum fuliginosum,5,214876,821044
250,29,9,3,2,Carabus glabratus,1,214876,821044
251,29,9,3,2,Carabus problematicus,2,214876,821044
252,29,9,3,2,Carabus violaceus,1,214876,821044
253,29,9,3,2,Cychrus caraboides,5,214876,821044
254,29,9,3,2,Pterostichus rhaeticus,2,214876,821044
255,29,9,3,3,Carabus glabratus,7,214876,821044
256,29,9,3,3,Cychrus caraboides,2,214876,821044
257,30,9,4,1,Carabus glabratus,12,216455,822114
258,30,9,4,1,Carabus problematicus,2,216455,822114
259,30,9,4,1,Carabus violaceus,1,216455,822114
260,30,9,4,1,Trechus obtusus,1,216455,822114
261,30,9,4,2,Carabus glabratus,1,216455,822114
262,30,9,4,3,Calathus micropterus,1,216455,822114
263,30,9,4,3,Carabus glabratus,5,216455,822114
264,30,9,4,3,Carabus problematicus,1,216455,822114
265,30,9,4,3,Carabus violaceus,2,216455,822114
266,30,9,4,3,Cychrus caraboides,1,216455,822114
267,31,9,5,1,Carabus glabratus,13,216452,822065
268,31,9,5,1,Cychrus caraboides,1,216452,822065
269,31,9,5,2,Carabus glabratus,5,216452,822065
270,31,9,5,2,Carabus violaceus,1,216452,822065
271,31,9,5,3,Carabus glabratus,10,216452,822065
272,31,9,5,3,Carabus problematicus,3,216452,822065
273,31,9,5,3,Carabus violaceus,1,216452,822065
274,31,9,5,3,Trechus obtusus,1,216452,822065
275,32,10,1,1,Carabus glabratus,8,235592,817787
276,32,10,1,1,Pterostichus diligens,1,235592,817787
277,32,10,1,2,Carabus glabratus,1,235592,817787
278,32,10,1,2,Carabus violaceus,2,235592,817787
279,32,10,1,2,Pterostichus niger,1,235592,817787
280,32,10,1,3,Calathus micropterus,3,235592,817787
281,32,10,1,3,Carabus glabratus,1,235592,817787
282,32,10,1,3,Carabus problematicus,1,235592,817787
283,32,10,1,3,Carabus violaceus,3,235592,817787
284,32,10,1,3,Cychrus caraboides,1,235592,817787
285,33,10,2,1,Carabus glabratus,3,235570,817892
286,33,10,2,1,Cychrus caraboides,1,235570,817892
287,33,10,2,1,Pterostichus diligens,3,235570,817892
288,33,10,2,1,Pterostichus madidus,3,235570,817892
289,33,10,2,2,Carabus glabratus,3,235570,817892
290,33,10,2,2,Pterostichus diligens,3,235570,817892
291,33,10,2,2,Pterostichus niger,1,235570,817892
292,33,10,2,3,Carabus glabratus,9,235570,817892
293,33,10,2,3,Carabus violaceus,2,235570,817892
294,33,10,2,3,Pterostichus niger,1,235570,817892
295,34,10,3,1,Agonum fuliginosum,6,235496,818006
296,34,10,3,1,Carabus glabratus,1,235496,818006
297,34,10,3,1,Pterostichus diligens,2,235496,818006
298,34,10,3,1,Pterostichus rhaeticus,2,235496,818006
299,34,10,3,2,Agonum fuliginosum,2,235496,818006
300,34,10,3,2,Carabus glabratus,5,235496,818006
301,34,10,3,2,Pterostichus diligens,1,235496,818006
302,34,10,3,3,Agonum fuliginosum,7,235496,818006
303,34,10,3,3,Carabus glabratus,3,235496,818006
304,34,10,3,3,Pterostichus diligens,1,235496,818006
305,35,11,1,1,Carabus glabratus,1,233892,816697
306,35,11,1,1,Carabus violaceus,2,233892,816697
307,35,11,1,1,Harpalus latus,1,233892,816697
308,35,11,1,1,Pterostichus diligens,1,233892,816697
309,35,11,1,1,Pterostichus niger,9,233892,816697
310,35,11,1,2,Carabus glabratus,3,233892,816697
311,35,11,1,2,Notiophilus germinyi,1,233892,816697
312,35,11,1,2,Pterostichus diligens,1,233892,816697
313,35,11,1,2,Pterostichus niger,4,233892,816697
314,35,11,1,3,Carabus glabratus,6,233892,816697
315,35,11,1,3,Carabus violaceus,1,233892,816697
316,35,11,1,3,Pterostichus niger,3,233892,816697
317,36,11,2,1,Carabus glabratus,8,233746,816435
318,36,11,2,1,Carabus violaceus,1,233746,816435
319,36,11,2,1,Cychrus caraboides,1,233746,816435
320,36,11,2,1,Harpalus latus,1,233746,816435
321,36,11,2,2,Carabus glabratus,6,233746,816435
322,36,11,2,2,Pterostichus niger,6,233746,816435
323,36,11,2,3,Abax parallelepipidus,1,233746,816435
324,36,11,2,3,Carabus glabratus,7,233746,816435
325,36,11,2,3,Pterostichus niger,4,233746,816435
326,37,11,3,1,Carabus violaceus,1,233848,816707
327,37,11,3,1,Pterostichus diligens,13,233848,816707
328,37,11,3,1,Pterostichus niger,4,233848,816707
329,37,11,3,2,Pterostichus diligens,5,233848,816707
330,37,11,3,3,Carabus glabratus,2,233848,816707
331,37,11,3,3,Cychrus caraboides,1,233848,816707
332,37,11,3,3,Pterostichus diligens,1,233848,816707
333,37,11,3,3,Pterostichus niger,7,233848,816707
334,38,12,1,1,Carabus glabratus,2,228676,816354
335,38,12,1,1,Pterostichus niger,1,228676,816354
336,38,12,1,2,Carabus glabratus,1,228676,816354
337,38,12,1,2,Carabus violaceus,2,228676,816354
338,38,12,1,2,Cychrus caraboides,1,228676,816354
339,38,12,1,3,Pterostichus madidus,1,228676,816354
340,39,12,2,1,Agonum ericeti,1,228711,816323
341,39,12,2,1,Bradycellus ruficollis,1,228711,816323
342,39,12,2,1,Pterostichus diligens,5,228711,816323
343,39,12,2,2,Carabus violaceus,1,228711,816323
344,39,12,2,2,Pterostichus diligens,1,228711,816323
345,39,12,2,2,Pterostichus madidus,1,228711,816323
346,39,12,2,3,Carabus violaceus,1,228711,816323
347,40,12,3,1,Pterostichus diligens,1,228610,816350
348,40,12,3,1,Pterostichus rhaeticus,1,228610,816350
349,40,12,3,2,Pterostichus madidus,1,228610,816350
350,40,12,3,2,Pterostichus rhaeticus,1,228610,816350
351,40,12,3,3,Carabus problematicus,1,228610,816350
352,40,12,3,3,Pterostichus diligens,1,228610,816350
353,41,13,4,1,Carabus glabratus,4,223910,826257
354,41,13,4,1,Carabus violaceus,2,223910,826257
355,41,13,4,1,Pterostichus oblongopunctatus,3,223910,826257
356,41,13,4,2,Abax parallelepipidus,1,223910,826257
357,41,13,4,2,Calathus micropterus,1,223910,826257
358,41,13,4,2,Carabus glabratus,3,223910,826257
359,41,13,4,2,Carabus violaceus,6,223910,826257
360,41,13,4,2,Cychrus caraboides,7,223910,826257
361,41,13,4,3,Calathus micropterus,4,223910,826257
362,41,13,4,3,Carabus glabratus,4,223910,826257
363,41,13,4,3,Carabus violaceus,8,223910,826257
364,41,13,4,3,Cychrus caraboides,3,223910,826257
365,41,13,4,3,Loricera pilicornis,1,223910,826257
366,41,13,4,3,Trechus obtusus,2,223910,826257
367,42,13,5,1,Carabus violaceus,1,223873,826234
368,42,13,5,1,Pterostichus oblongopunctatus,1,223873,826234
369,42,13,5,3,Calathus micropterus,1,223873,826234
370,42,13,5,3,Cychrus caraboides,5,223873,826234
371,43,14,4,1,Calathus micropterus,2,217390,822196
372,43,14,4,1,Carabus glabratus,12,217390,822196
373,43,14,4,1,Carabus problematicus,1,217390,822196
374,43,14,4,1,Carabus violaceus,1,217390,822196
375,43,14,4,2,Calathus micropterus,1,217390,822196
376,43,14,4,2,Carabus problematicus,1,217390,822196
377,43,14,4,3,Calathus micropterus,1,217390,822196
378,43,14,4,3,Carabus glabratus,1,217390,822196
379,43,14,4,3,Carabus problematicus,11,217390,822196
380,43,14,4,3,Cychrus caraboides,1,217390,822196
381,43,14,4,3,Trechus obtusus,1,217390,822196
382,44,14,5,1,Carabus glabratus,8,217398,822197
383,44,14,5,1,Cychrus caraboides,3,217398,822197
384,44,14,5,2,Calathus micropterus,1,217398,822197
385,44,14,5,2,Carabus glabratus,1,217398,822197
386,44,14,5,3,Calathus micropterus,2,217398,822197
387,44,14,5,3,Carabus problematicus,3,217398,822197
388,44,14,5,3,Carabus violaceus,1,217398,822197
389,45,15,1,1,Carabus glabratus,3,220711,825142
390,45,15,1,1,Carabus violaceus,2,220711,825142
391,45,15,1,2,Carabus glabratus,1,220711,825142
392,45,15,1,3,Carabus problematicus,1,220711,825142
393,45,15,1,3,Carabus violaceus,2,220711,825142
394,45,15,1,3,Cychrus caraboides,1,220711,825142
395,46,15,2,1,Pterostichus rhaeticus,2,220773,825120
396,46,15,2,2,Pterostichus rhaeticus,1,220773,825120
397,46,15,2,3,Carabus problematicus,1,220773,825120
398,46,15,2,3,Cychrus caraboides,1,220773,825120
399,46,15,2,3,Pterostichus diligens,1,220773,825120
400,46,15,2,3,Pterostichus rhaeticus,3,220773,825120
401,47,15,3,1,Carabus glabratus,5,220715,825199
402,47,15,3,1,Carabus violaceus,2,220715,825199
403,47,15,3,1,Cychrus caraboides,1,220715,825199
404,47,15,3,1,Pterostichus rhaeticus,2,220715,825199
405,47,15,3,2,Carabus glabratus,2,220715,825199
406,47,15,3,2,Pterostichus rhaeticus,1,220715,825199
407,47,15,3,3,Carabus glabratus,1,220715,825199
408,47,15,3,3,Cychrus caraboides,1,220715,825199
409,47,15,3,3,Pterostichus diligens,1,220715,825199
410,48,15,4,1,Carabus glabratus,2,220682,824835
411,48,15,4,2,Carabus glabratus,4,220682,824835
412,48,15,4,2,Carabus problematicus,1,220682,824835
413,48,15,4,3,Carabus glabratus,1,220682,824835
414,48,15,4,3,Carabus problematicus,1,220682,824835
415,49,15,5,1,Carabus glabratus,7,220581,825081
416,49,15,5,1,Carabus problematicus,1,220581,825081
417,49,15,5,1,Carabus violaceus,1,220581,825081
418,49,15,5,2,Carabus glabratus,4,220581,825081
419,49,15,5,3,Carabus glabratus,4,220581,825081
420,49,15,5,3,Carabus problematicus,1,220581,825081
421,49,15,5,3,Cychrus caraboides,1,220581,825081
422,50,16,1,1,Calathus micropterus,4,222513,824993
423,50,16,1,1,Carabus problematicus,2,222513,824993
424,50,16,1,1,Trechus obtusus,10,222513,824993
425,50,16,1,2,Calathus micropterus,1,222513,824993
426,50,16,1,2,Carabus glabratus,1,222513,824993
427,50,16,1,3,Carabus glabratus,3,222513,824993
428,50,16,1,3,Carabus problematicus,4,222513,824993
429,50,16,1,3,Carabus violaceus,1,222513,824993
430,50,16,1,3,Pterostichus diligens,2,222513,824993
431,50,16,1,3,Trechus obtusus,11,222513,824993
432,51,16,2,1,Carabus problematicus,1,222581,825048
433,51,16,2,1,Pterostichus diligens,3,222581,825048
434,51,16,2,1,Pterostichus rhaeticus,6,222581,825048
435,51,16,2,2,Abax parallelepipidus,1,222581,825048
436,51,16,2,2,Cychrus caraboides,1,222581,825048
437,51,16,2,2,Pterostichus diligens,1,222581,825048
438,51,16,2,2,Pterostichus rhaeticus,3,222581,825048
439,51,16,2,3,Agonum ericeti,1,222581,825048
440,51,16,2,3,Carabus glabratus,3,222581,825048
441,51,16,2,3,Carabus problematicus,6,222581,825048
442,51,16,2,3,Carabus violaceus,1,222581,825048
443,51,16,2,3,Cychrus caraboides,2,222581,825048
444,51,16,2,3,Pterostichus diligens,3,222581,825048
445,52,16,3,1,Agonum ericeti,1,222970,825352
446,52,16,3,1,Pterostichus diligens,10,222970,825352
447,52,16,3,1,Pterostichus madidus,1,222970,825352
448,52,16,3,1,Pterostichus niger,1,222970,825352
449,52,16,3,1,Pterostichus rhaeticus,1,222970,825352
450,52,16,3,2,Abax parallelepipidus,1,222970,825352
451,52,16,3,2,Pterostichus diligens,2,222970,825352
452,52,16,3,3,Abax parallelepipidus,2,222970,825352
453,52,16,3,3,Carabus glabratus,1,222970,825352
454,52,16,3,3,Carabus violaceus,1,222970,825352
455,52,16,3,3,Cychrus caraboides,1,222970,825352
456,52,16,3,3,Pterostichus diligens,1,222970,825352
457,52,16,3,3,Pterostichus niger,5,222970,825352
458,52,16,3,3,Pterostichus rhaeticus,2,222970,825352
459,52,16,3,3,Trechus obtusus,1,222970,825352
